Year,Title,Description,Type
2010,Esperanza Spalding releases Chamber Music Society,"A fusion of jazz, classical, and soul, earning critical acclaim.",Recordin
2012,Robert Glasper Experiment releases Black Radio,"Blends jazz, R&B, and hip-hop, winning a Grammy for Best R&B Album.",Recording
2015,Cecile McLorin Salvant releases For One to Love,Known for her rich vocals and storytelling in modern jazz.,Recording
2015,Kamasi Washington releases The Epic,Landmark triple album pushing jazz into contemporary consciousness.,Recording
2017,Kamasi Washington releases Harmony of Difference,An ambitious EP blending jazz with spiritual themes.,Recording
2018,Jazz at Lincoln Center celebrates 30 years,Solidifies its role as a major jazz institution.,Institution
2018,Kamasi Washington releases Heaven and Earth,Explores themes of social justice and spirituality with a grand sound.,Recording
2019,Christian Scott aTunde Adjuah releases Ancestral Recall,Fuses jazz with African and indigenous sounds.,Recording
2019,Norah Jones releases Begin Again,Combines jazz with indie and folk elements.,Recording
2019,Terri Lyne Carrington releases Waiting Game,Explores contemporary jazz with social commentary.,Recording
